                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.42999,                0.26741,                 0.9427,                0.98946,                 0.9871,                0.99472,                0.89264,                0.53351,                0.22345,                0.89088,               0.009142,               0.009142,               0.009142
                     55,                0.43017,                0.26659,                0.94268,                0.98966,                0.98578,                 0.9947,                0.89219,                0.53248,                0.22305,                0.89074,              0.0091255,              0.0091255,              0.0091255
                     56,                0.42905,                0.26703,                0.94292,                0.99006,                0.98575,                 0.9947,                0.89199,                0.53206,                0.22327,                0.89156,               0.009109,               0.009109,               0.009109
                     57,                0.42413,                0.26683,                 0.9428,                0.98951,                0.98701,                0.99473,                0.89235,                0.53185,                0.22314,                0.89322,              0.0090925,              0.0090925,              0.0090925
                     58,                0.43019,                0.26802,                0.94249,                0.98997,                0.98701,                0.99473,                0.89348,                0.53197,                0.22329,                0.89366,               0.009076,               0.009076,               0.009076
                     59,                0.42574,                0.26862,                0.93848,                0.98951,                0.98701,                0.99473,                0.89403,                0.53051,                0.22167,                0.89215,              0.0090595,              0.0090595,              0.0090595
                     60,                0.42465,                0.26339,                 0.9375,                0.98945,                0.98617,                0.99473,                0.89493,                0.52964,                0.21976,                0.89145,               0.009043,               0.009043,               0.009043
                     61,                0.42053,                0.25981,                0.93672,                0.98934,                0.98578,                0.99473,                0.89498,                0.52903,                0.21957,                0.89056,              0.0090265,              0.0090265,              0.0090265
                     62,                0.41916,                0.26058,                0.93628,                0.98921,                0.98639,                0.99475,                0.89481,                0.52889,                0.21961,                0.88951,                0.00901,                0.00901,                0.00901
                     63,                0.42641,                0.26542,                0.93779,                0.99005,                 0.9846,                0.99474,                0.89567,                0.52897,                0.21947,                0.88809,              0.0089935,              0.0089935,              0.0089935
                     64,                0.42117,                0.26029,                0.93701,                0.99007,                0.98613,                0.99472,                0.89504,                0.52892,                0.21949,                0.88715,               0.008977,               0.008977,               0.008977
                     65,                 0.4183,                0.26033,                0.93336,                0.99006,                0.98593,                 0.9947,                0.89458,                0.52876,                0.21909,                0.88594,              0.0089605,              0.0089605,              0.0089605
                     66,                0.41518,                0.25796,                0.93541,                0.99067,                0.98481,                 0.9947,                0.89495,                0.52891,                0.21847,                0.88549,               0.008944,               0.008944,               0.008944
